feature,importance
risk_score,0.1523686400200998
is_weekend,0.1295534901540708
client_prev_result_rate,0.06819113325916992
preferred_language,0.053628205876085966
client_call_number,0.046950696693312095
hour,0.039475713197342506
product_type,0.02159476305149858
debt_amount_bucket,0.018362281808023885
segment,0.00839895033475966
treename,0.00839895033475966
age_group,0.007907593374442598
region,0.00464728248873278
client_prev_contact_rate,0.0003270515899041808
days_since_last_call,4.9485590426757735e-05
